VLFPWR,LFPWR,HFPWR,VLFP,LFP,HFP,VLFWFV,LFWFV,HFWFV,TP,LFHF,FREQRATIO,FREQRATIOV,NFBV,PR,SDNN,O2SD,BR,SDBB,MINVENT
247.311906,152.599513,126.572446,29.854956,114.192412,106.516531,73.403769,111.439007,101.704742,155.848166,118.403700,339.324785,254.669221,238.407482,147.505367,382.041641,162.937959,0.000000,0.000000,0.000000
273.215617,144.985163,131.651568,29.854956,81.566009,71.011021,76.909070,110.418976,101.946223,148.244542,108.155553,332.139083,287.253300,262.745417,156.006455,345.953385,163.581379,0.000000,0.000000,0.000000
219.018531,129.071164,194.413165,29.854956,184.882953,130.609556,85.532695,109.344173,105.428203,159.094505,65.201090,247.309312,212.726913,211.824330,134.077837,247.160601,164.613883,0.000000,0.000000,0.000000
203.084807,130.795811,163.257726,59.709911,81.566009,143.290095,91.876924,107.004246,102.568434,144.306925,78.681275,209.284047,199.074424,196.853737,130.581674,196.994694,164.900086,0.000000,0.000000,0.000000
124.321961,116.284060,153.145863,59.709911,81.566009,72.279075,97.366492,100.654924,102.130450,126.246338,74.570356,121.501121,114.589110,122.851795,109.420405,114.007405,156.581056,0.000000,0.000000,0.000000
99.157680,84.352793,134.393874,29.854956,119.630146,79.887398,84.582729,112.481036,104.410740,109.022463,61.641230,100.740777,102.745272,99.208595,102.130671,86.836341,148.796229,0.000000,0.000000,0.000000
94.490915,80.253354,138.979383,29.854956,119.630146,63.402697,87.077264,111.891759,104.418943,110.972565,56.710583,94.533572,94.714812,94.823918,103.431474,82.171980,135.144243,0.000000,0.000000,0.000000
67.527320,78.873206,130.034207,29.854956,119.630146,140.753987,79.689096,112.272424,103.574465,107.368733,59.569394,78.223961,69.690486,69.490166,95.599247,70.675141,108.337937,0.000000,0.000000,0.000000
69.949179,79.812691,130.256848,29.854956,119.630146,140.753987,80.655710,111.806703,103.511316,105.886554,60.175913,79.465579,72.814088,71.765633,99.131783,71.585364,89.388039,0.000000,0.000000,0.000000
75.740033,76.519818,127.121411,29.854956,119.630146,140.753987,84.825007,107.379006,104.229287,99.745343,59.116202,79.502940,80.713675,77.206453,102.444062,70.034986,92.141849,0.000000,0.000000,0.000000
68.199338,79.864851,131.491053,29.854956,119.630146,140.753987,100.575979,105.804144,104.532068,100.620335,59.650046,62.303949,62.233374,70.121562,101.031753,60.559985,87.862834,0.000000,0.000000,0.000000
59.034912,73.365647,132.390580,29.854956,135.943348,103.980423,111.150211,109.167684,103.714284,100.695251,54.423563,47.162033,45.343851,61.511090,95.766831,51.451010,80.659159,0.000000,0.000000,0.000000
55.686140,77.859641,137.771615,29.854956,135.943348,72.279075,104.034666,109.280112,103.203250,108.830172,55.501401,49.330790,40.846124,58.364738,95.115047,51.816047,84.352426,0.000000,0.000000,0.000000
52.914271,82.187358,111.207852,29.854956,135.943348,95.104045,105.040885,105.572714,100.129996,104.753040,72.580653,45.633477,39.404864,55.760417,92.309810,48.550196,93.400207,0.000000,0.000000,0.000000
51.405804,79.286142,95.164878,149.274778,135.943348,103.980423,114.076666,102.355625,96.205031,97.005226,81.822339,38.547698,36.895798,54.343131,92.323992,45.594968,101.395833,0.000000,0.000000,0.000000
45.655573,77.101577,95.580100,119.419823,135.943348,95.104045,123.465238,103.608959,97.381506,96.769519,79.222233,30.510101,24.858223,48.940479,93.255255,45.420938,99.042649,0.000000,0.000000,0.000000
50.909266,80.285849,94.297358,29.854956,135.943348,95.104045,110.890282,102.604810,97.391001,97.150927,83.616268,40.870276,38.089224,53.876607,95.843200,47.329982,98.058216,0.000000,0.000000,0.000000
49.526325,79.588116,103.600963,149.274778,135.943348,95.104045,109.165446,102.422284,96.491674,103.218991,75.445915,41.441284,33.945754,52.577259,95.568840,48.075944,100.732831,0.000000,0.000000,0.000000
86.813431,83.614586,104.427913,149.274778,135.943348,95.104045,110.959054,103.381632,96.265621,107.070604,78.635155,71.450455,74.120295,87.610507,94.755103,69.754438,113.868764,0.000000,0.000000,0.000000
98.415115,82.776878,97.343710,149.274778,119.630146,95.104045,105.231521,105.179269,96.133182,102.693557,83.512685,84.440651,93.533484,98.510915,95.950322,77.173502,141.135445,0.000000,0.000000,0.000000
97.386010,86.426668,113.702979,149.274778,135.943348,95.104045,101.053542,108.694219,96.691012,116.961090,74.649555,86.538817,86.453287,97.544015,94.576151,78.021950,133.217011,0.000000,0.000000,0.000000
97.872443,92.760574,113.307970,119.419823,119.630146,95.104045,101.449837,108.374390,95.900955,122.613629,80.399671,86.590520,83.494811,98.001045,94.043328,78.030314,111.905088,0.000000,0.000000,0.000000
98.055798,90.346629,112.665568,119.419823,119.630146,95.104045,101.852351,108.301357,97.216851,118.948876,78.753895,86.778642,85.609907,98.173317,95.584041,78.607874,104.733465,0.000000,0.000000,0.000000
98.294888,86.506640,117.961920,119.419823,119.630146,98.908207,100.980491,107.955269,96.555350,120.570047,72.020961,87.609237,85.451881,98.397955,92.737171,79.079334,114.764653,0.000000,0.000000,0.000000
97.000982,87.279789,119.900836,119.419823,119.630146,98.908207,102.106652,106.393132,96.789247,118.498663,71.489585,85.865879,84.494515,97.182261,95.084947,78.178041,123.041764,0.000000,0.000000,0.000000
96.868934,85.220461,114.227083,119.419823,119.630146,101.444315,101.580566,107.344202,96.996291,115.300584,73.269983,85.683474,86.511181,97.058195,96.443086,77.436492,131.885126,0.000000,0.000000,0.000000
105.997940,88.819779,114.401316,89.564867,119.630146,101.444315,106.469844,109.453934,96.913021,119.390062,76.248266,89.772080,91.919498,105.635388,97.697426,80.986175,128.287712,0.000000,0.000000,0.000000
102.532276,88.535383,113.152947,89.564867,119.630146,98.908207,102.357535,109.414887,96.940581,119.571581,76.842644,89.791966,90.170665,102.379210,94.175970,80.377417,106.480979,0.000000,0.000000,0.000000
102.875868,88.281133,110.392626,179.129734,119.630146,100.176261,102.824615,107.886608,96.516398,115.659244,78.537873,89.417864,92.579216,102.702034,102.644040,79.788183,104.748108,0.000000,0.000000,0.000000
70.239184,105.339373,110.124065,179.129734,92.441476,100.176261,111.319029,102.012504,96.043354,115.617276,93.941999,60.564526,49.608896,72.038107,95.138710,65.949326,107.550492,0.000000,0.000000,0.000000
62.158671,84.987956,101.450982,179.129734,92.441476,103.980423,114.942230,104.226091,95.987519,108.014847,82.272071,49.361305,42.508863,64.446030,94.058048,56.309215,104.514709,0.000000,0.000000,0.000000
61.653759,82.207382,91.277602,179.129734,103.316944,98.908207,117.765797,103.410281,96.611247,97.387956,88.450012,46.934586,46.468383,63.971638,94.695378,55.014429,100.378764,0.000000,0.000000,0.000000
63.429427,82.006024,94.040979,179.129734,92.441476,102.712369,118.241293,102.653094,95.486179,101.240030,85.640643,47.252016,46.015963,65.639974,94.799947,54.319009,95.940156,0.000000,0.000000,0.000000
