TIME,POWER
0,0
1,0
3,-314
5,331
8,1466
11,-6
14,1345
17,1125
19,286
22,778
25,123
28,1702
31,-1251
33,2477
36,3167
39,486
42,-328
44,123
47,-454
50,-572
53,464
56,647
58,-416
58,0
86,0
86,325
89,1634
92,2518
95,-343
97,1603
100,-1239
100,0
103,0
106,570
109,-995
111,-2437
114,-3297
117,-1762
120,-2332
123,-3051
123,0
859,0
860,-961
863,-1762
865,-1803
865,0
2662,0
2663,2
2666,1056
2666,0
2802,0
2803,-93
2806,-106
2806,0
2811,0
2812,490
2814,1384
2817,-547
2820,204
2823,462
2826,-375
2828,-483
2828,0
2911,0
2912,703
2915,840
2915,0
3452,0
3452,640
3455,-3105
3458,-3086
3461,-3083
3461,0
3471,0
3472,123
3475,272
3477,-23
3477,0
4732,0
4733,1334
4736,1329
4736,0
4739,0
4742,-462
4742,0
8931,0
8932,357
8935,1273
8938,1411
8941,-363
8943,-609
8943,0
9918,0
9920,521
9922,1631
9925,2587
9925,0
9955,0
9956,-184
9959,-1486
9961,-1728
9961,0
9964,0
9967,-159
9970,-949
9973,-1645
9973,0
11769,0
11771,-483
11774,-399
11774,0
12874,0
12876,1460
12879,-857
12879,0
13049,0
13049,1004
13052,1606
13055,1667
13058,2303
13060,3439
13063,2642
13063,0
13421,0
13421,270
13424,-744
13427,36
13430,476
13432,-1812
13432,0
13606,0
13606,-264
13609,741
13611,2713
13614,-84
13617,500
13620,-540
13620,0
13627,0
13628,265
13631,1870
13634,-216
13637,-5
13639,123
13642,2301
13645,1852
13645,0
13692,0
13693,-73
13695,504
13698,-1686
13701,599
13704,-1767
13704,0
15175,0
15177,-430
15180,5233
15183,1313
15186,1127
15189,2469
15191,3009
15194,1893
15194,0
15333,0
15334,-704
15337,1292
15340,696
15342,372
15342,0
15601,0
15603,-404
15605,-189
15608,-38
15608,0
16203,0
16204,623
16207,993
16207,0
16216,0
16218,-1011
16221,-829
16223,156
16226,319
16229,-490
16229,0
16892,0
16892,-1
16895,317
16895,0
17560,0
17560,207
17563,-118
17566,-2382
17568,2148
17571,377
17571,0
17808,0
17809,-253
17812,-1258
17814,-745
17817,362
17820,372
17823,82
17823,0
18181,0
18183,-1428
18186,-555
18189,-832
18192,106
18195,-461
18197,-711
18200,-630
18200,0
18402,0
18404,44
18407,-45
18410,-1062
18413,-164
18415,-2114
18418,-1932
18418,0
18848,0
18849,-97
18852,790
18854,2744
18857,1876
18860,3313
18863,1738
18863,0
19251,0
19251,66
19254,654
19257,623
19260,311
19260,0
19724,0
19726,-2065
19729,-2082
19732,-1143
19735,-646
19735,0
19738,0
19740,-141
19743,-299
19746,1642
19749,2096
19752,306
19754,1363
19757,363
19760,758
19763,2420
19766,-638
19768,436
19768,0
19775,0
19777,307
19780,90
19780,0
19831,0
19833,415
19835,1603
19838,1259
19841,544
19844,1594
19847,1451
19849,182
19852,774
19855,477
19858,1883
19861,-769
19863,142
19866,504
19869,602
19869,0
20649,0
20652,-227
20654,17
20654,0
21449,0
21451,-1296
21454,820
21457,-1695
21460,-1674
21463,-1927
21465,-2295
21465,0
21534,0
21535,145
21538,93
21541,-550
21544,80
21546,-17
21546,0
22095,0
22097,372
22100,750
22103,-2060
22103,0
22114,0
22114,41
22117,239
22117,0
22143,0
22145,2872
22148,1585
22151,1808
22153,3336
22156,4255
22159,4832
22162,3636
22165,4171
22167,3379
22170,4555
22173,4615
22176,4144
22179,4040
22181,3890
22184,3413
22187,3586
22190,2150
22193,5381
22195,3708
22198,5608
22201,3584
22201,0
22283,0
22285,433
22288,414
22288,0
22291,0
22293,811
22296,-711
22299,224
22302,2904
22304,-975
22307,-795
22310,-144
22313,42
22313,0
22316,0
22318,2650
22321,1050
22324,1110
22327,-2692
22330,4209
22332,7912
22335,-267
22338,-483
22341,-404
22344,450
22346,1702
22349,438
22352,556
22355,556
22358,-1401
22360,-1302
22363,-1286
22366,-810
22369,374
22372,-11
22374,-637
22374,0
22381,0
22383,44
22385,-371
22388,-494
22391,-109
22391,0
22398,0
22399,1107
22402,1298
22405,356
22408,469
22411,-151
22411,0
22490,0
22492,-517
22495,-5
22497,388
22500,264
